,,,,Longitude,Latitude
,,,,-2.384097,51.370352
,,,,-2.382784,51.369547
,,,,-2.383532,51.371423
,,,,-2.396393,51.371803
,,,,-2.390169,51.371482
,,,,-2.39572,51.373721
,,,,-2.394521,51.373059
,,,,-2.393385,51.369484
,,,,-2.393385,51.369484
,,,,-2.387387,51.366933
,,,,-2.391233,51.369806
,,,,-2.391798,51.36877
,,,,-2.39063,51.366499
,,,,-2.393573,51.368018
,,,,-2.397188,51.369103
,,,,-2.397188,51.369103
,,,,-2.400887,51.373173
,,,,-2.399997,51.371683
,,,,-2.400887,51.373173
,,,,-2.400887,51.373173
,,,,-2.399997,51.371683
,,,,-2.400887,51.373173
,,,,-2.400887,51.373173
,,,,-2.397968,51.374576
,,,,-2.403297,51.374414
,,,,-2.400237,51.37117
,,,,-2.403297,51.374414
,,,,-2.483693,51.343016
,,,,-2.48125,51.359265
,,,,-2.483693,51.343016
,,,,-2.483693,51.343016
,,,,-2.483693,51.343016
,,,,-2.483693,51.343016
,,,,-2.494001,51.352325
,,,,-2.494001,51.352325
,,,,-2.494001,51.352325
,,,,-2.480892,51.35933
,,,,-2.494001,51.352325
,,,,-2.483998,51.344696
,,,,-2.494001,51.352325
,,,,-2.494001,51.352325
,,,,-2.494001,51.352325
,,,,-2.485126,51.356327
,,,,-2.483693,51.343016
,,,,-2.536975,51.399747
,,,,-2.512096,51.371813
,,,,-2.508609,51.379948
,,,,-2.438841,51.388053
,,,,-2.439532,51.386584
,,,,-2.439532,51.386584
,,,,-2.536975,51.399747
,,,,-2.536975,51.399747
,,,,-2.463245,51.403856
,,,,-2.461002,51.405214
,,,,-2.450341,51.397145
,,,,-2.459897,51.398276
,,,,-2.451817,51.399522
,,,,-2.457141,51.400068
,,,,-2.451817,51.399522
,,,,-2.469641,51.327877
,,,,-2.469641,51.327877
,,,,-2.469641,51.327877
,,,,-2.469641,51.327877
,,,,-2.469641,51.327877
,,,,-2.476653,51.327291
,,,,-2.475561,51.325776
,,,,-2.475503,51.33128
,,,,-2.471756,51.329856
,,,,-2.472604,51.328594
,,,,-2.477606,51.33066
,,,,-2.472604,51.328594
,,,,-2.472604,51.328594
,,,,-2.472604,51.328594
,,,,-2.477998,51.329714
,,,,-2.365085,51.374854
,,,,-2.365841,51.374213
,,,,-2.366156,51.374114
,,,,-2.364238,51.371359
,,,,-2.361926,51.362366
,,,,-2.361926,51.362366
,,,,-2.361926,51.362366
,,,,-2.361926,51.362366
,,,,-2.361926,51.362366
,,,,-2.370739,51.358049
,,,,-2.375108,51.358512
,,,,-2.368257,51.356582
,,,,-2.368257,51.356582
,,,,-2.370739,51.358049
,,,,-2.370739,51.358049
,,,,-2.370739,51.358049
,,,,-2.368202,51.356933
,,,,-2.370739,51.358049
,,,,-2.373645,51.369297
,,,,-2.37203,51.366776
,,,,-2.365415,51.367633
,,,,-2.371097,51.37221
,,,,-2.371221,51.366212
,,,,-2.365415,51.367633
,,,,-2.36784,51.367311
,,,,-2.365415,51.367633
,,,,-2.365544,51.369404
,,,,-2.363896,51.355364
,,,,-2.34731,51.365008
,,,,-2.328246,51.364596
,,,,-2.328246,51.364596
,,,,-2.328246,51.364596
,,,,-2.34731,51.365008
,,,,-2.348016,51.359584
,,,,-2.346516,51.362619
,,,,-2.349701,51.358374
,,,,-2.346516,51.362619
,,,,-2.346516,51.362619
,,,,-2.361772,51.362843
,,,,-2.356829,51.362579
,,,,-2.359801,51.364314
,,,,-2.358435,51.362304
,,,,-2.361772,51.362843
,,,,-2.359801,51.364314
,,,,-2.360529,51.361848
