g_uk_datazone,g_uk_easting,g_uk_northing
E01024523,615640.3,135220.6
E01024048,615599.8,157901.8
E01029988,615595.4,244547.3
E01022030,615587.4,215787
E01030034,615571.4,247644.1
E01021978,615544.4,229803.8
E01026732,615542.4,338513
E01030024,615481.7,245063.9
E01024101,615475.4,159367.7
E01024044,615410.3,157401.1
E01021977,615394.6,216094.3
E01026907,615353.2,305078.3
E01024120,615313.6,167516.2
E01024093,615312.8,158380.3
E01030019,615270.9,242666.4
E01029974,615261.3,245953.2
E01024099,615253.2,159746.7
E01021990,615233.9,213570.4
E01024531,615185.8,134703.4
E01024131,615159.4,156981.6
E01029985,615155.6,244149.1
E01030023,615153.9,245059
E01026772,615102.9,342652.7
E01029975,615097,246879.2
E01026934,615042.6,278957.2
E01030036,615033.3,247323.3
E01030088,615023.8,270041.6
E01029977,615006.4,246418.6
E01026897,614992.1,295086.4
E01030022,614971.4,245385
E01021989,614960.9,214232
E01024124,614928.7,158038.6
E01026905,614904.9,304765.6
E01030021,614842.7,241812.8
E01030020,614821.3,242261.3
E01026906,614810.4,304590.4
E01024100,614763.3,159595.9
E01024125,614762,157684.4
E01029986,614730.1,243623.8
E01022018,614721.9,221948
E01030026,614696.8,245636
E01024102,614667.6,158932.9
E01021988,614640.8,212966.9
E01030046,614620,251984.3
E01030018,614595.3,242727.9
E01029987,614594.9,243547.6
E01024104,614581.9,158396.8
E01024129,614560.5,157164.1
E01030052,614559.9,273959.8
E01029976,614539.8,246665.3
E01024130,614490.8,156795
E01030032,614485.2,247142.3
E01030035,614452.8,247553.8
E01024529,614381.7,134064.8
E01030012,614366.1,243050.5
E01029984,614271.5,244233.6
E01030027,614236.8,245615
E01030017,614234.6,242378.4
E01024103,614212.7,158737.1
E01029871,614201.3,235868.3
E01024121,614194,158268.8
E01030029,614184.5,246272.9
E01030013,613979.5,243298.2
E01030030,613943.6,245754.9
E01029908,613938.1,241875.8
E01030016,613928.4,242685.3
E01024057,613840.3,166738.3
E01024128,613794.7,156819.7
E01024051,613765.8,159939.2
E01030045,613716.2,249593.3
E01024122,613707.5,158118.9
E01030015,613691.9,242440.8
E01026895,613687.9,310783
E01030031,613686.8,246946.9
E01030028,613597.8,246118.5
E01024056,613590.8,165593.2
E01024059,613565.9,167221.9
E01024123,613535.4,158686.4
E01030014,613531.4,243159.9
E01026523,613480.2,324441.5
E01024530,613348.6,133693.5
E01024545,613311.2,142852.1
E01024126,613294.5,157603.6
E01029879,613265.7,241897.5
E01026877,613257.3,290478.6
E01029910,613247.6,242511.2
E01026525,613228.9,319451.8
E01024127,613159.3,156276.3
E01029909,613134.8,242545.6
E01024054,613116.9,150630.5
E01030047,613048.3,250224.1
E01026874,612995.6,284718.6
E01022047,612931.7,216932.1
E01024115,612924.6,166901.4
E01024068,612916.7,158699.3
E01029878,612915.8,244685.6
E01030087,612750.6,266281.9
E01024058,612748.1,166301.6
E01030064,612681.8,276855.7
E01026890,612647.6,279549.8
E01022045,612539.4,215046.1
E01022019,612433.3,227012.8
E01026878,612415.8,292678.3
E01024114,612332.9,166971
E01026933,612305.7,302696.9
E01030044,612302.9,246644.2
E01024050,612280.5,161184.4
E01022021,612262.9,231544.8
E01026896,612111.1,307549.9
E01024055,612061.6,166036.1
E01030043,612014.3,250465.8
E01026945,611999.1,301800.2
E01024536,611871.1,136082.7
E01026733,611867.7,334574.4
E01026888,611862.1,280030.4
E01030042,611782.7,247115.1
E01024116,611715.9,167000.5
E01024489,611650.3,131055.7
E01026884,611573.5,300842.8
E01024053,611479.3,154968.1
E01026891,611450.3,279775.2
E01026946,611429.9,302165.3
E01024063,611368.8,166106.6
E01026889,611355,280343.6
E01021993,611340.8,221273.1
E01024071,611327.1,166719.5
E01026921,611318.3,302914.2
E01024062,611184.5,164954.8
E01024061,611161.9,165648.1
E01030083,611086.1,258780.5
E01024069,611013.8,166515.7
E01029872,610953.4,234089.6
E01026524,610948.9,315354.6
E01022020,610940.8,231772.3
E01026870,610939.5,301586.4
E01026932,610898.4,280335.6
E01026922,610890.4,302426.8
E01024067,610856.7,157555
