Easting,Northing
596190,199566
409650,285100
647930,296530
402090,288720
464250,422290
483352,161550
459305,84467
540673,170245
439705,556910
439603,557588
399310,290085
517765,248773
565892,127169
570660,161860
624537,151141
419490,255150
418490,256540
565583,167583
414490,279620
441884,110798
441327,112161
444836,117013
333832,417135
524390,322840
439700,335139
222120,781430
334960,711890
564174,284098
578392,144450
333920,383020
419630,410280
609430,297491
411150,282840
260570,667670
428143,218642
330883,431734
511070,185440
463542,98803
391870,322933
504150,171446
515549,207076
514526,206414
502925,306650
555683,223530
551440,224830
432800,456000
332241,429010
201611,52565
346905,498090
244685,58010
244645,58080
297035,511965
405430,561380
191100,59560
194231,842124
557394,174913
443130,113815
412930,287450
403730,444875
266210,668405
154150,35730
523448,224090
241780,646060
538557,184444
538175,184760
236020,57480
512627,179804
453310,521270
588162,185503
587569,189000
318920,672240
351600,395400
353574,393222
589547,185767
439725,420132
588128,185997
524323,105147
279757,693585
151947,40127
292682,93498
536393,188735
537435,176345
225102,61032
483965,210603
533670,186910
389260,389870
418415,410870
522024,164159
580300,109365
336710,386950
533380,187930
516810,174255
546640,168295
519660,184210
519790,260710
590564,163871
380800,205280
343950,376040
444156,519591
387953,345645
389670,334555
533680,188595
530050,183175
360765,174434
530000,183160
529990,183135
390998,283295
391000,283300
390460,284190
297700,81900
530000,171300
529710,170505
530270,172685
397841,386465
186467,834667
206200,561400
574027,169356
384950,205125
515520,172415
450595,357700
617746,160401
226940,641290
605160,258850
501496,242222
384090,383520
587723,241073
256817,669675
510119,169998
481311,198112
495206,166764
500160,175575
518100,167300
535642,178946
411970,296360
526034,163826
525635,165525
545455,187100
552267,155340
354033,184781
591234,169158
265700,193600
427590,98420
633258,157613
625800,148200
446160,399060
551016,168271
486820,364390
560582,174761
377720,402070
451750,108720
406235,423495
521840,342920
443910,115930
638520,263150
535370,171600
533540,172160
516420,177200
462113,311120
445275,518450
448450,220530
523100,156200
312510,183190
278185,882385
258660,321510
278720,371690
401710,295010
264965,341560
491580,181340
522590,158140
322755,125460
200340,731220
547275,360695
515660,166870
516019,170815
294200,73100
370285,309359
212940,200600
595666,163108
510930,418840
258870,655110
452752,166361
528800,136900
535927,201128
464400,170900
410675,273465
586770,283670
359390,112505
349650,393580
441000,481570
255230,659955
583835,114545
591627,185689
468080,413770
469240,412370
617845,221285
469695,348465
532250,168350
311300,967920
591823,265030
427530,277530
467483,175173
395640,292510
314000,203200
394560,129060
304520,113960
563626,176337
261000,336100
370785,122540
421316,304460
421315,304460
299790,192210
393520,424160
519845,165605
558789,146027
289460,184370
256310,303870
297270,195380
527950,170585
296646,88419
290555,63505
290360,64850
280170,60920
436480,113285
340160,405510
307050,202380
308300,188900
304470,191050
293860,198170
295940,196490
