LSOA_CODE,Pupil absence rates,Absence 10
E01007577,11,6.82
E01007727,11,6.82
E01007755,11,6.82
E01007764,11,6.82
E01007967,11,6.82
E01008007,11,6.82
E01008008,11,6.82
E01010654,11,6.82
E01011282,11,6.82
E01011283,11,6.82
E01011294,11,6.82
E01011339,11,6.82
E01011362,11,6.82
E01011370,11,6.82
E01011676,11,6.82
E01012817,11,6.82
E01012841,11,6.82
E01012858,11,6.82
E01012872,11,6.82
E01012888,11,6.82
E01012898,11,6.82
E01013212,11,6.82
E01013814,11,6.82
E01013825,11,6.82
E01013904,11,6.82
E01019663,11,6.82
E01026085,11,6.82
E01026965,11,6.82
E01028068,11,6.82
E01009748,11,6.82
E01010078,11,6.82
E01010081,11,6.82
E01015841,11,6.82
E01015895,11,6.82
E01021970,11,6.82
E01021976,11,6.82
E01021998,11,6.82
E01026819,11,6.82
E01003349,11,6.82
E01017227,11,6.82
E01017265,11,6.82
E01022538,11,6.82
E01024717,11,6.82
E01024765,11,6.82
E01014601,11,6.82
E01014603,11,6.82
E01014605,11,6.82
E01008332,10.9,6.758
E01012090,10.9,6.758
E01005071,10.9,6.758
E01005092,10.9,6.758
E01005256,10.9,6.758
E01005257,10.9,6.758
E01005259,10.9,6.758
E01005665,10.9,6.758
E01005668,10.9,6.758
E01005732,10.9,6.758
E01006552,10.9,6.758
E01006614,10.9,6.758
E01006615,10.9,6.758
E01006663,10.9,6.758
E01006721,10.9,6.758
E01006790,10.9,6.758
E01006791,10.9,6.758
E01018347,10.9,6.758
E01018478,10.9,6.758
E01018738,10.9,6.758
E01025578,10.9,6.758
E01007494,10.9,6.758
E01007574,10.9,6.758
E01007576,10.9,6.758
E01007580,10.9,6.758
E01007756,10.9,6.758
E01007759,10.9,6.758
E01007763,10.9,6.758
E01007847,10.9,6.758
E01007848,10.9,6.758
E01007850,10.9,6.758
E01007884,10.9,6.758
E01008000,10.9,6.758
E01008075,10.9,6.758
E01010916,10.9,6.758
E01011292,10.9,6.758
E01011336,10.9,6.758
E01011428,10.9,6.758
E01011431,10.9,6.758
E01011657,10.9,6.758
E01011659,10.9,6.758
E01011722,10.9,6.758
E01011729,10.9,6.758
E01012844,10.9,6.758
E01012849,10.9,6.758
E01012946,10.9,6.758
E01013174,10.9,6.758
E01013177,10.9,6.758
E01013178,10.9,6.758
E01013229,10.9,6.758
E01013821,10.9,6.758
E01013824,10.9,6.758
E01013908,10.9,6.758
E01026074,10.9,6.758
E01026951,10.9,6.758
E01027239,10.9,6.758
E01028004,10.9,6.758
E01028320,10.9,6.758
E01009751,10.9,6.758
E01015852,10.9,6.758
E01021968,10.9,6.758
E01022000,10.9,6.758
E01022005,10.9,6.758
E01022007,10.9,6.758
E01026598,10.9,6.758
E01030257,10.9,6.758
E01030288,10.9,6.758
E01000789,10.9,6.758
E01003242,10.9,6.758
E01003350,10.9,6.758
E01017036,10.9,6.758
E01017129,10.9,6.758
E01022539,10.9,6.758
E01024728,10.9,6.758
E01028518,10.9,6.758
E01028519,10.9,6.758
E01028520,10.9,6.758
E01028568,10.9,6.758
